Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	ND	NT	a	b	c	d	e	f	non-b	Total
2112		1								1
2113				1						1
2114		1								1
2115				1						1
2116				1						1
2117			1							1
2118		1								1
2119		1								1
2120								1		1
2121		1								1
2122		1								1
2123		1								1
2124		1								1
2125		1								1
2126		1								1
2127		1								1
2128		1								1
2129		1								1
2130		1								1
2131		1								1
2132		1								1
2133								1		1
2134		1								1
2135		1								1
2136		1								1
2137		1								1
2138		1								1
2139		1								1
2140								1		1
2141		1								1
2142		2								2
2143		2								2
2144		2								2
2145		4								4
2146		1								1
2147		2								2
2148		2								2
2149		2								2
2150		2								2
2151		2								2
2152		2								2
2153		2								2
2154		2								2
2155				1						1
2156		2								2
2157		1								1
2158		1								1
2159				1						1
2160		1								1
2161			1							1
2162			1							1
2163		1								1
2164		1								1
2165		1								1
2166		1								1
2167	1									1
2168	1									1
2169	1									1
2170		1								1
2171		1								1
2172			1							1
2173		1								1
2174		1								1
2175		1								1
2176		1								1
2177		1								1
2178		1								1
2179		1								1
2180		1								1
2181		1								1
2182		1								1
2183		1								1
2184		2								2
2185		1								1
2186		1								1
2187		1								1
2188		1								1
2189		1								1
2190		1								1
2191		1								1
2192		1								1
2193		1								1
2194		1								1
2195		1								1
2196		1								1
2197		1								1
2198		1								1
2199		1								1
2200		1								1
2201								1		1
2202		1								1
2203		1								1
2204		1								1
2205		1								1
2206		1								1
2207		1								1
2208		1								1
2209		1								1
2210		1								1
2211		1								1
2212		1								1
2213		1								1
2214		1								1
2215		1								1
2216		1								1
2217		1								1
2218		1								1
2219		1								1
2220		1								1
2221		1								1
2222		1								1
2223		1								1
2224		1								1
2225		1								1
2226		1								1
2227		1								1
2228		1								1
2229		1								1
2230		1								1
2231		1								1
2232		1								1
2233		1								1
2234		1								1
2235		1								1
2236		1								1
2237		1								1
2238		1								1
2239		1								1
2240		1								1
2241		1								1
2242		1								1
2243		1								1
2244		1								1
2245		1								1
2246		1								1
2247		1								1
2248		1								1
2249		1								1
2250		1								1
2251		1								1
2252		1								1
2253		1								1
2254		1								1
2255		1								1
2256		1								1
2257		1								1
2258		1								1
2259		1								1
2260		1								1
2261		1								1
2262		1								1
2263		1								1
2264		1								1
2265		1								1
2266		1								1
2267		1								1
2268		1								1
2269		1								1
2270		1								1
2271		1								1
2272		2								2
2273				1						1
2274		1								1
2275		1								1
2276		1								1
2277		1								1
2278		1								1
2279		1								1
2280		1								1
2281		1								1
2282		1								1
2283		1								1
2284		3								3
2285		1								1
2286		1								1
2287		1								1
2288		1								1
2289		1								1
2290		1								1
2291		1								1
2292		1								1
2293		1								1
2294		1								1
2295		1								1
2296		1								1
2297		1								1
2298		1								1
2299		1								1
2300		1								1
2301		1								1
2302		1								1
2303		1								1
2304			4							4
2305		2								2
2306		1								1
2307		1								1
2308		1								1
2309		1								1
2310		1								1
2311		1								1
2312				1						1
2313		1								1
2314		1								1
2315		1								1
2316		1								1
2317		1								1
2318		1								1
2319		1								1
2320				1						1
2321		1								1
2322	1									1
2323		1								1
2324		1								1
2325		1								1
2326				1						1
2327				1						1
2329		1								1
2330		1								1
2332		1								1
2333		1								1
2334								1		1
2335			1							1
2336		1								1
2337				1						1
2338				1						1
2339		1								1
2340		1								1
2341		1								1
2342		1								1
2343		1								1
2344		1								1
2345		1								1
2346								1		1
2347				1						1
2348				1						1
2349		1								1
2350		1								1
2351		1								1
2352		2								2
2353		1								1
2354								1		1
2355		1								1
2356		1								1
2357		1								1
2358		1								1
2359		1								1
2360		1								1
2361								1		1
2362		1								1
2363		1								1
2364				1						1
2365		1								1
2366								1		1
2367		1								1
2368		1								1
2369		3								3
2370		1								1
2371		1								1
2372		1								1
2373		1								1
2374		1								1
2375		1								1
2376		1								1
2377		1								1
2378		1								1
2379		1								1
2380		1								1
2381		1								1
2382		1								1
2383		1								1
2384		1								1
2385		7								7
2386		3								3
2387		1								1
2388		1								1
2389		1								1
Total	259	4052	215	883	41	39	209	299	7	6004

