Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	NA	No value	O1	O1&#65306;K-	O10	O10: KUT	O10:K19	O10:K20	O10:K22	O10:K24	O10:K52	O10:K6	O10:K66	O10:K68	O10:K71	O10:K9	O10:KUT	O10:Kuk	O10:Kunk	O10K66	O10KUT	O11	O11:K28	O11:K34	O11:K36	O11:K40	O11:K44	O11:K5	O11:K50	O11:K68	O11:KUT	O11:Kuk	O11:Kunk	O11K22	O11ï¼K40	O12	O12:K12	O1:K1	O1:K12	O1:K17	O1:K2	O1:K20	O1:K22	O1:K25	O1:K26	O1:K28	O1:K29	O1:K30	O1:K32	O1:K33	O1:K36	O1:K38	O1:K41	O1:K52	O1:K54	O1:K55	O1:K56	O1:K58	O1:K59	O1:K64	O1:K69	O1:K9	O1:KUT	O1:Kuk	O1:Kunk	O1:Kut	O1:k32	O1;K46	O1K25	O1K31	O1KUT	O1：K26	O1：KUT	O2	O2:K22	O2:K26	O2:K28	O2:K29	O2:K3	O2:K56	O2:K8	O2:KUT	O2:Kuk	O2:Kunk	O2K3	O2KUT	O2：K15	O3	O3 : K6	O3 :K6	O3&#65306;K6	O3: K31	O3:K	O3:K1	O3:K117	O3:K13	O3:K17	O3:K20	O3:K21	O3:K25	O3:K29	O3:K30	O3:K31	O3:K33	O3:K34	O3:K37	O3:K4	O3:K41	O3:K42	O3:K45	O3:K46	O3:K48	O3:K5	O3:K56	O3:K58	O3:K59	O3:K6	O3:K68	O3:K7	O3:K72	O3:KUT	O3:Kuk	O3:Kunk	O3:Kut	O3K20	O3KUT	O3ï¼K6	O3：K7	O4	O4&#65306;K18	O4: K8	O4:K10	O4:K11	O4:K12	O4:K13	O4:K15	O4:K29	O4:K33	O4:K34	O4:K37	O4:K38	O4:K4	O4:K42	O4:K53	O4:K54	O4:K55	O4:K63	O4:K68	O4:K8	O4:K9	O4:KUT	O4:Kuk	O4:Kunk	O4:Kut	O4:k42	O5	O5:K11	O5:K17	O5:K19	O5:K28	O5:K30	O5:K52	O5:K57	O5:K68	O5:KUT	O5:Kuk	O5:Kunk	O5:Kut	O5K17	O5ï¼K17	O5：K64	O6	O6:K18	O6:K41	O6:K46	O6:Kuk	O6:Kunk	O7	O7:K19	O7:K52	O7:KUT	O7K19	O8	O8:K1	O8:K21	O8:K22	O8:K41	O8:K47	O8:K70	O8:KUT	O8:Kunk	O8:k22	O9:K23	O9:K24	O9:K44	OUT:K28	OUT:K33	OUT:K48	OUT:KUT	Ouk:Kuk	Ounk:Kunk	Q5:KUT	Total
2056		1																																																																																																																																																																																																									1
2057		1																																																																																																																																																																																																									1
2058		1																																																																																																																																																																																																									1
2059		1																																																																																																																																																																																																									1
2060		1																																																																																																																																																																																																									1
2061		1																																																																																																																																																																																																									1
2062		1																																																																																																																																																																																																									1
2063		1																																																																																																																																																																																																									1
2064		1																																																																																																																																																																																																									1
2065		1																																																																																																																																																																																																									1
2066		1																																																																																																																																																																																																									1
2067		1																																																																																																																																																																																																									1
2068		1																																																																																																																																																																																																									1
2069		1																																																																																																																																																																																																									1
2070		1																																																																																																																																																																																																									1
2071		1																																																																																																																																																																																																									1
2072		1																																																																																																																																																																																																									1
2073		1																																																																																																																																																																																																									1
2074		2																																																																																																																																																																																																									2
2075		1																																																																																																																																																																																																									1
2076		2																																																																																																																																																																																																									2
2077		1																																																																																																																																																																																																									1
2078		1																																																																																																																																																																																																									1
2079		1																																																																																																																																																																																																									1
2080		1																																																																																																																																																																																																									1
2081		1																																																																																																																																																																																																									1
2083		2																																																																																																																																																																																																									2
2084		1																																																																																																																																																																																																									1
2085		1																																																																																																																																																																																																									1
2086		1																																																																																																																																																																																																									1
2087		1																																																																																																																																																																																																									1
2088		1																																																																																																																																																																																																									1
2089		1																																																																																																																																																																																																									1
2090		1																																																																																																																																																																																																									1
2091		1																																																																																																																																																																																																									1
2092		1																																																																																																																																																																																																									1
2093		1																																																																																																																																																																																																									1
2094		1																																																																																																																																																																																																									1
2095		1																																																																																																																																																																																																									1
2096		1																																																																																																																																																																																																									1
2097		1																																																																																																																																																																																																									1
2098		1																																																																																																																																																																																																									1
2099		1																																																																																																																																																																																																									1
2100		1																																																																																																																																																																																																									1
2101		1																																																																																																																																																																																																									1
2102		1																																																																																																																																																																																																									1
2103		1																																																																																																																																																																																																									1
2104		1																																																																																																																																																																																																									1
2105		1																																																																																																																																																																																																									1
2106		1																																																																																																																																																																																																									1
2107		1																																																																																																																																																																																																									1
2108		1																																																																																																																																																																																																									1
2109		1																																																																																																																																																																																																									1
2110		1																																																																																																																																																																																																									1
2111		1																																																																																																																																																																																																									1
2112		1																																																																																																																																																																																																									1
2113		1																																																																																																																																																																																																									1
2114		1																																																																																																																																																																																																									1
2115		1																																																																																																																																																																																																									1
2116		1																																																																																																																																																																																																									1
2117		1																																																																																																																																																																																																									1
2118		1																																																																																																																																																																																																									1
2119		3																																																																																																																																																																																																									3
2120		3																																																																																																																																																																																																									3
2121		1																																																																																																																																																																																																									1
2122		1																																																																																																																																																																																																									1
2123		1																																																																																																																																																																																																									1
2124		1																																																																																																																																																																																																									1
2125		1																																																																																																																																																																																																									1
2126		1																																																																																																																																																																																																									1
2127		1																																																																																																																																																																																																									1
2128		3																																																																																																																																																																																																									3
2129		1																																																																																																																																																																																																									1
2130		1																																																																																																																																																																																																									1
2131		1																																																																																																																																																																																																									1
2132		1																																																																																																																																																																																																									1
2133		5																																																																																																																																																																																																									5
2134		1																																																																																																																																																																																																									1
2135		1																																																																																																																																																																																																									1
2136		1																																																																																																																																																																																																									1
2137		2																																																																																																																																																																																																									2
2138		1																																																																																																																																																																																																									1
2139		1																																																																																																																																																																																																									1
2140		1																																																																																																																																																																																																									1
2141		1																																																																																																																																																																																																									1
2142		1																																																																																																																																																																																																									1
2143		1																																																																																																																																																																																																									1
2144		1																																																																																																																																																																																																									1
2145		1																																																																																																																																																																																																									1
2146		1																																																																																																																																																																																																									1
2147		1																																																																																																																																																																																																									1
2148		1																																																																																																																																																																																																									1
2149		1																																																																																																																																																																																																									1
2150		1																																																																																																																																																																																																									1
2151		1																																																																																																																																																																																																									1
2152		5																																																																																																																																																																																																									5
2153		1																																																																																																																																																																																																									1
2154		1																																																																																																																																																																																																									1
2155		1																																																																																																																																																																																																									1
2156		1																																																																																																																																																																																																									1
2157		1																																																																																																																																																																																																									1
2158		1																																																																																																																																																																																																									1
2159		1																																																																																																																																																																																																									1
2160		2																																																																																																																																																																																																									2
2161		1																																																																																																																																																																																																									1
2162		1																																																																																																																																																																																																									1
2163		1																																																																																																																																																																																																									1
2164		1																																																																																																																																																																																																									1
2165		1																																																																																																																																																																																																									1
2166		1																																																																																																																																																																																																									1
2167		1																																																																																																																																																																																																									1
2168		1																																																																																																																																																																																																									1
2169		1																																																																																																																																																																																																									1
2170		1																																																																																																																																																																																																									1
2171		1																																																																																																																																																																																																									1
2172		1																																																																																																																																																																																																									1
2173		1																																																																																																																																																																																																									1
2174		1																																																																																																																																																																																																									1
2175		1																																																																																																																																																																																																									1
2176		1																																																																																																																																																																																																									1
2177		1																																																																																																																																																																																																									1
2178		1																																																																																																																																																																																																									1
2179		1																																																																																																																																																																																																									1
2180		1																																																																																																																																																																																																									1
2181		1																																																																																																																																																																																																									1
2182		1																																																																																																																																																																																																									1
2183		1																																																																																																																																																																																																									1
2184		1																																																																																																																																																																																																									1
2185		1																																																																																																																																																																																																									1
2186		1																																																																																																																																																																																																									1
2187		1																																																																																																																																																																																																									1
2188		1																																																																																																																																																																																																									1
2189		1																																																																																																																																																																																																									1
2190		1																																																																																																																																																																																																									1
2191		1																																																																																																																																																																																																									1
2192		1																																																																																																																																																																																																									1
2193		1																																																																																																																																																																																																									1
2194		1																																																																																																																																																																																																									1
2195		1																																																																																																																																																																																																									1
2196		1																																																																																																																																																																																																									1
2197		1																																																																																																																																																																																																									1
2198		1																																																																																																																																																																																																									1
2199		1																																																																																																																																																																																																									1
2200		2																																																																																																																																																																																																									2
2201		1																																																																																																																																																																																																									1
2202		1																																																																																																																																																																																																									1
2203		1																																																																																																																																																																																																									1
2204		1																																																																																																																																																																																																									1
2205		1																																																																																																																																																																																																									1
2206		1																																																																																																																																																																																																									1
2207		1																																																																																																																																																																																																									1
2208		1																																																																																																																																																																																																									1
2209		1																																																																																																																																																																																																									1
2210		2																																																																																																																																																																																																									2
2211		1																																																																																																																																																																																																									1
2212		3																																																																																																																																																																																																									3
2213		2																																																																																																																																																																																																									2
2214		3																																																																																																																																																																																																									3
2215		1																																																																																																																																																																																																									1
2216		1																																																																																																																																																																																																									1
2217		1																																																																																																																																																																																																									1
2218		1																																																																																																																																																																																																									1
2219		1																																																																																																																																																																																																									1
2220		1																																																																																																																																																																																																									1
2221		1																																																																																																																																																																																																									1
2226		1																																																																																																																																																																																																									1
2227		1																																																																																																																																																																																																									1
2228		1																																																																																																																																																																																																									1
2229		1																																																																																																																																																																																																									1
2230		2																																																																																																																																																																																																									2
2231		1																																																																																																																																																																																																									1
2233		1																																																																																																																																																																																																									1
2239		1																																																																																																																																																																																																									1
2240		1																																																																																																																																																																																																									1
2241		1																																																																																																																																																																																																									1
2242		1																																																																																																																																																																																																									1
2243		1																																																																																																																																																																																																									1
2244		1																																																																																																																																																																																																									1
2245		1																																																																																																																																																																																																									1
2246		1																																																																																																																																																																																																									1
2247		1																																																																																																																																																																																																									1
2248		1																																																																																																																																																																																																									1
2249		1																																																																																																																																																																																																									1
2250		1																																																																																																																																																																																																									1
2251		1																																																																																																																																																																																																									1
2252		1																																																																																																																																																																																																									1
2253		2																																																																																																																																																																																																									2
2254		1																																																																																																																																																																																																									1
2255		1																																																																																																																																																																																																									1
2256		1																																																																																																																																																																																																									1
2257		1																																																																																																																																																																																																									1
2258		1																																																																																																																																																																																																									1
2259		1																																																																																																																																																																																																									1
2260		1																																																																																																																																																																																																									1
2261		1																																																																																																																																																																																																									1
2262		2																																																																																																																																																																																																									2
2263		1																																																																																																																																																																																																									1
2264		1																																																																																																																																																																																																									1
2265		1																																																																																																																																																																																																									1
2266		1																																																																																																																																																																																																									1
2267		1																																																																																																																																																																																																									1
2268		1																																																																																																																																																																																																									1
2269		1																																																																																																																																																																																																									1
2270		1																																																																																																																																																																																																									1
2271		1																																																																																																																																																																																																									1
2272		1																																																																																																																																																																																																									1
2273		1																																																																																																																																																																																																									1
2274		1																																																																																																																																																																																																									1
2275		1																																																																																																																																																																																																									1
2276		1																																																																																																																																																																																																									1
2277		1																																																																																																																																																																																																									1
2278		1																																																																																																																																																																																																									1
2279		1																																																																																																																																																																																																									1
2280		1																																																																																																																																																																																																									1
2281		1																																																																																																																																																																																																									1
