Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A/1	F/11	F/12	G	NA	NT	No value	Not typable	O1	O1, O3, O6,O10	O10	O11	O12	O13	O14	O15	O15:O10:O14	O1:O3:O14	O1:O3:OII	O1:OII	O3	O3:O4	O3:O4:O13	O4	O4:O11	O4:O7:O11	O4:O9	O4:OII	O5	O6	O6:O10	O6:O12:O13:O14	O6:O12:O14	O6:O13:O14	O6:O14	O6:O9:O10:O4	O7	O7:O8	O8	O9	O9:O12	O9:O14	O:11	O:12	O:4	OII	ONT	P. aeruginosa	PA	no agglutinating	non serotypable	not typeable	6	2943	Total
2885							1																																																1
2886							1																																																1
2887							2																																																2
2888							1																																																1
2889							2																																																2
2890							1																																																1
2892							1																																																1
2893							1																																																1
2894							1																																																1
2895							3																																																3
2896							1																																																1
2897							1																																																1
2898							1																																																1
2899							1																																																1
2900							1																																																1
2901							1																																																1
2902							1																																																1
2903							3																																																3
2904							2																																																2
2905							1																																																1
2906							3																																																3
2907							1																																																1
2908							2																																																2
2909							1																																																1
2910							1																																																1
2911							1																																																1
2912							3																																																3
2913							1																																																1
2914							1																																																1
2915							1																																																1
2916							1																																																1
2917							1																																																1
2918							1																																																1
2919							1																																																1
2920							1																																																1
2921							1																																																1
2922							1																																																1
2923							4																																																4
2924							1																																																1
2925							1																																																1
2926							1																																																1
2927							1																																																1
2928							1																																																1
2929							1																																																1
2930							1																																																1
2931							4																																																4
2932							2																																																2
2933							1																																																1
2934							1																																																1
2935							1																																																1
2936							1																																																1
2937							1																																																1
2938							1																																																1
2939							1																																																1
2940							1																																																1
2941							1																																																1
2942							1																																																1
2943							1																																																1
2944							1																																																1
2945							1																																																1
2946							1																																																1
2947							1																																																1
2948							1																																																1
2949							1																																																1
2950							1																																																1
2951							1																																																1
2952							1																																																1
2953							1																																																1
2954							1																																																1
2955							1																																																1
2956							1																																																1
2957							1																																																1
2958							1																																																1
2959							1																																																1
2960					1																																																		1
2961							1																																																1
2962							1																																																1
2963							2																																																2
2964							1																																																1
2965							1																																																1
2966							3																																																3
2967							1																																																1
2968							2																																																2
2969							1																																																1
2970							2																																																2
2971							1																																																1
2972							1																																																1
2973							1																																																1
2974							2																																																2
2975							2																																																2
2976							1																																																1
2977							1																																																1
2978							1																																																1
2979							2																																																2
2980							1																																																1
2981							1																																																1
2982							1																																																1
2983							1																																																1
2984							1																																																1
2985							1																																																1
2986							1																																																1
2987							1																																																1
2988							1																																																1
2989							1																																																1
2990							1																																																1
2991							1																																																1
2992							1																																																1
2993							1																																																1
2994							1																																																1
2995							1																																																1
2996							1																																																1
2997							1																																																1
2998							1																																																1
2999							1																																																1
3000							1																																																1
3001																													1																										1
3002							1																																																1
3003							1																																																1
3004							1																																																1
3005							1																																																1
3006							1																																																1
3007							1																																																1
3008							1																																																1
3009							1																																																1
3010							1																																																1
3011							1																																																1
3012							1																																																1
3013							1																																																1
3014							1																																																1
3015							1																																																1
3016							1																																																1
3017							1																																																1
3018							1																																																1
3019							1																																																1
3020							1																																																1
3021							1																																																1
3022							1																																																1
3023							1																																																1
3024							1																																																1
3025							1																																																1
3026							1																																																1
3027							1																																																1
3028							1																																																1
3029							1																																																1
3030							1																																																1
3031							1																																																1
3032							1																																																1
3033							1																																																1
3034							1																																																1
3035							1																																																1
3036							1																																																1
3037							1																																																1
3038							1																																																1
3039							1																																																1
3040							1																																																1
3041							1																																																1
3042							1																																																1
3043							3																																																3
3044							1																																																1
3045							1																																																1
3046							1																																																1
3047							1																																																1
3048							1																																																1
3049							1																																																1
3050							1																																																1
3051							1																																																1
3052							1																																																1
3053							1																																																1
3054							1																																																1
3055							1																																																1
3056							1																																																1
3057							1																																																1
3058							1																																																1
3059							2																																																2
3060							1																																																1
3061							1																																																1
3062							1																																																1
3063							2																																																2
3064							1																																																1
3065							1																																																1
3066							1																																																1
3067							1																																																1
3068							1																																																1
3069							1																																																1
3070							1																																																1
3071							1																																																1
3073							1																																																1
3074							1																																																1
3075							1																																																1
3076							1																																																1
3077							1																																																1
3078							2																																																2
3079							3																																																3
3080							1																																																1
3081							1																																																1
3082							1																																																1
3083							2																																																2
3084							1																																																1
3085							1																																																1
3086							1																																																1
3087							1																																																1
3089							1																																																1
3090							1																																																1
3091							1																																																1
3092							1																																																1
3093							1																																																1
3094							1																																																1
3095							1																																																1
3096							1																																																1
3097							1																																																1
3098							1																																																1
3099							1																																																1
3100							1																																																1
3101							1																																																1
3102							1																																																1
3103							1																																																1
3104							1																																																1
3105							1																																																1
3106							1																																																1
3107							1																																																1
3110							1																																																1
3111							1																																																1
3112							1																																																1
3113							1																																																1
3115							1																																																1
3116							1																																																1
3117							1																																																1
3118							1																																																1
3119							3																																																3
3120							1																																																1
3121							1																																																1
3122							1																																																1
3123							1																																																1
3124							1																																																1
3125							1																																																1
3126							1																																																1
3127							1																																																1
3128							1																																																1
3129							1																																																1
3130							1																																																1
3131							1																																																1
3132							1																																																1
3133							1																																																1
3134							1																																																1
3135							1																																																1
3136							1																																																1
3137							1																																																1
3138							1																																																1
3139							1																																																1
3140							1																																																1
3141							1																																																1
3142							1																																																1
3143							1																																																1
3144							1																																																1
3145							1																																																1
3146							1																																																1
3147							1																																																1
3148							1																																																1
3149							1																																																1
3150							1																																																1
3151							1																																																1
3152							1																																																1
3153							1																																																1
3154							1																																																1
3155							1																																																1
3156							1																																																1
3157							1																																																1
3158							1																																																1
3159							1																																																1
3160							1																																																1
3161							2																																																2
3162							1																																																1
3163							1																																																1
3164							1																																																1
3165							1																																																1
3166							1																																																1
3167							1																																																1
3168							1																																																1
3169							1																																																1
3170							2																																																2
3171							1																																																1
3172							1																																																1
3173							1																																																1
3174							1																																																1
3175							1																																																1
3176							1																																																1
3177							1																																																1
3178							1																																																1
3179							1																																																1
3180							1																																																1
3181							2																																																2
3182							1																																																1
3183							1																																																1
3184							1																																																1
3185							1																																																1
3186							1																																																1
3187							1																																																1
3188							1																																																1
3189							1																																																1
3190							1																																																1
3191							1																																																1
3192							1																							1																									2
3193							1																																																1
3194							1																																																1
3195							1																																																1
3196							1																																																1
3197							1																																																1
3198							1																																																1
3199							1																																																1
3200							1																																																1
3201							1																																																1
3202							1																																																1
3203							1																																																1
3204							1																																																1
3205							1																																																1
3206							1																																																1
3207							1																																																1
3208							1																																																1
3209							8																																																8
3210							5																																																5
3211							4																																																4
3212							1																																																1
3213							1																																																1
3214							1																																																1
3215							1																																																1
3216							1																																																1
3217							1																																																1
3218							1																																																1
3219							1																																																1
3220							1																																																1
3221							1																																																1
3222							1																																																1
3223							1																																																1
3224							1																																																1
3225							1																																																1
3226							1																																																1
3227							1																																																1
3228							1																																																1
3229							1																																																1
3230							1																																																1
3231							1																																																1
3232							1																																																1
3233							1																																																1
3234							1																																																1
3235							1																																																1
3236							1																																																1
3237							1																																																1
3238							1																																																1
3239							1																																																1
3240							1																																																1
3241							1																																																1
3242							1																																																1
3243																					1																																		1
3244																					1																																		1
3245											1																																												1
3246									1																																														1
3247																																															1								1
3248											1																																												1
3249																														1																									1
3250																																															1								1
3251																					1																																		1
3252																					1																																		1
3253																														1																									1
3254																																							1																1
3255									1																																														1
3256											1																																												1
3257																					1																																		1
3258									1																																														1
3259																														1																									1
3260												1																																											1
3261																														1																									1
3262																														1																									1
3263							1																																																1
3264							1																																																1
3265							1																																																1
3266							1																																																1
3267							2																																																2
3268							1																																																1
3269							1																																																1
3270							1																																																1
3271							1																																																1
3272							1																																																1
3273							1																																																1
3274							1																																																1
3275							2																																																2
3276							1																																																1
3277							1																																																1
3278							1																																																1
3279							1																																																1
3280							1																																																1
3281							1																																																1
3282							1																																																1
3283							1																																																1
3284							1																																																1
3285							1																																																1
3286							1																																																1
3287							1																																																1
3288							1																																																1
3289							1																																																1
3290							1																																																1
3291							1																																																1
3292							1																																																1
3293							2																																																2
3294							1																																																1
3295							1																																																1
3296							1																																																1
3297							1																																																1
3298							1																																																1
3299							1																																																1
3300							1																																																1
3301							1																																																1
3302							2																																																2
3303							2																																																2
3304							1																																																1
3305							1																																																1
3306							1																																																1
3307							1																																																1
3308							1																																																1
3309							1																																																1
3310							1																																																1
3311							1																																																1
3312							1																																																1
3313							1																																																1
3314							1																																																1
3315							1																																																1
3316							1																																																1
3317							1																																																1
3318							1																																																1
3319							1																																																1
3320							1																																																1
3321							1																																																1
3322							1																																																1
3323							1																																																1
3324							1																																																1
3325							1																																																1
3326							1																																																1
3327							1																																																1
3328							1																																																1
3329							1																																																1
3330							1																																																1
3331							1																																																1
3332							1																																																1
3333							1																																																1
3334							1																																																1
3335							1																																																1
3336							1																																																1
3337							1																																																1
3338							1																																																1
3339							1		1																																														2
3340							1																																																1
3341							1																																																1
3342							1																																																1
3343							1																																																1
3344							1																																																1
3345							1																																																1
3346							2																																																2
3347							1																																																1
3348							1																																																1
3349							1																																																1
3350							1																																																1
3351							1																																																1
3352							1																																																1
3353							1																																																1
3354							1																																																1
3355							1																																																1
3356							1																																																1
3357							1																																																1
3358							1																																																1
3359							1																																																1
3360							1																																																1
3361							1																																																1
3362							1																																																1
3363							4																																																4
3364							1																																																1
3365							1																																																1
3366							1																																																1
3367							1																																																1
3368							1																																																1
3369							1																																																1
3370							1																																																1
3371							1																																																1
3372							1																																																1
3373							2																																																2
3374							1																																																1
3375							1																																																1
3376							1																																																1
3377							1																																																1
3378							1																																																1
3379							1																																																1
3380							1																																																1
3381							1																																																1
3382							1																																																1
3383							1																																																1
3384							1																																																1
3385							3																																																3
3386							1																																																1
3387							1																																																1
3388							1																																																1
3389							1																																																1
3390							2																																																2
3391							1																																																1
3392							1																																																1
3393							1																																																1
3394							1																																																1
3395							1																																																1
3396							1																																																1
3397							1																																																1
3398							1																																																1
3399							1																																																1
3400							1																																																1
3401							1																																																1
3402							2																																																2
3403							3																																																3
3404							1																																																1
3405							1																																																1
3406							1																																																1
3407							1																																																1
3408							1																																																1
3409							1																																																1
3410							1																																																1
3411							1																																																1
3412							1																																																1
3413							5																																																5
3416							1																																																1
3418							1																																																1
3419							1																																																1
3420							1																																																1
3421							1																																																1
3422							1																																																1
3423							1																																																1
3424							1																																																1
3425																																								1															1
3426							1																																																1
3427							1																																																1
3428							1																																																1
3429							1																																																1
3430							1																																																1
3431							1																																																1
3432							1																																																1
3433							1																																																1
3434							1																																																1
3435							1																																																1
3436							1																																																1
3437							1																																																1
3438							1																																																1
3439							1																																																1
3440							1																																																1
3441							1																																																1
3442							1																																																1
3443							1																																																1
3444							1																																																1
3445							1																																																1
3446							1																																																1
3447							1																																																1
3448							1																																																1
3449							1																																																1
3451																														1																									1
3452																													1																										1
3453							1																																																1
3454							1																																																1
3455							1																																																1
3456							1																																																1
3457							1																																																1
3458							1																																																1
3459							1																																																1
3460							1																																																1
3461							1																																																1
3462							1																																																1
3463							1																																																1
3464							1																																																1
3465							1																																																1
3466							2																																																2
3467							1																																																1
3468							1																																																1
3470							1																																																1
3471							1																																																1
3473							1																																																1
3474							1																																																1
3475																																								1															1
3476									1																																														1
3477																														1																									1
3478																								1																															1
3479																														1																									1
3480																																								1															1
3481																																																				1			1
3482																								1																															1
3483																														1																									1
3484																																							1																1
3485							1																																																1
3486							1																																																1
3487							3																																																3
3488							3																																																3
3489							1																																																1
3490							2																																																2
3491														1																																									1
3492																								1																															1
3493																								1																															1
3495							2																																																2
3496							2																																																2
3497							1																																																1
3498							1																																																1
3499							1																																																1
3500							1																																																1
3501							1																																																1
3502																																																				1			1
3503							1																																																1
3504							2																																																2
3505							1																																																1
3506							1																																																1
3507							1																																																1
3508							1																																																1
3509							3																																																3
3510																														1																									1
3511							1																																																1
3512							1																																																1
3513									1																																														1
3514							1																																																1
3515							1																																																1
3516							1																																																1
3517							1																																																1
3518							1																																																1
3519							1																																																1
3520							1																																																1
3521							1																																																1
3522							1																																																1
3523							1																																																1
3524							1																																																1
3525							1																																																1
3526							1																																																1
3527							1																																																1
3528							1																																																1
3529							1																																																1
3530							1																																																1
3531							1																																																1
3532							1																																																1
3533							1																																																1
3534							1																																																1
3535							1																																																1
3536							1																																																1
3537							1																																																1
3538							1																																																1
3539							1																																																1
3540							1																																																1
3541							1																																																1
3542							1																																																1
3543							1																																																1
3544							1																																																1
3545							1																																																1
3546							1																																																1
3547							1																																																1
3548							1																																																1
3549							1																																																1
3550							1																																																1
3551							1																																																1
3552							1																																																1
3553							1																																																1
3554							1																																																1
3555							1																																																1
3556							1																																																1
3557							1																																																1
3559							1																																																1
3560							1																																																1
3561							1																																																1
3562							1																																																1
3563							1																																																1
3564							1																																																1
3565							1																																																1
3566							1																																																1
3567							1																																																1
3568							1																																																1
3569							1																																																1
3573							1																																																1
3579							1																																																1
3580							1																																																1
3581							1																																																1
3582							1																																																1
3583							1																																																1
3584							1																																																1
3585							1																																																1
3586							1																																																1
3587							1																																																1
3588							1																																																1
3589							1																																																1
3590							2																																																2
3592							1																																																1
3594							1																																																1
3595							1																																																1
3596							1																																																1
3597							1																																																1
3598							1																																																1
3599							1																																																1
3600							1																																																1
3601							1																																																1
3602							1																																																1
3603					1		2																																																3
3604							2																																																2
3605							1																																																1
3606							4																																																4
3607							2																																																2
3608							1																																																1
3609							1																																																1
3610							1																																																1
3611							1																																																1
3612							1																																																1
3613							1																																																1
3614							1																																																1
3615							1																																																1
3616							1																																																1
3617							1																																																1
3618							1																																																1
3619							1																																																1
3620							1																																																1
3621							1																																																1
3623							1																																																1
3624							1																																																1
3625							1																																																1
3626							1																																																1
3629							1																																																1
3630							1																																																1
3631							1																																																1
3632							1																																																1
3633							1																																																1
3634							1																																																1
3635							1																																																1
3636							1																																																1
3637							1																																																1
