Breakdown of ST (MLST (scheme 3)) by serovar:
Selected options: Display values only. 

ST (MLST (scheme 3))	serovar
	Abramis	Agogo	Alice	Arenal	Argentinensis	Atchafalaya	Australis	Autumnalis	Babudieri	Bafani	Bakeri	Balboa	Balcanica	Ballum	Bananal	Bangkinang	Bangkok	Bataviae	Benjamini	Beye	Biggis	Bim	Bindjei	Birkini	Bogvere	Borincana	Brasiliensis	Bratislava	Broomi	Bulgarica	Butembo	Camlo	Canalzonae	Canicola	Carimagua	Carlos	Castellonis	Celledoni	Ceylonica	Claytoni	Copenhageni	Coxi	Cristobali	Cynopteri	Dehong	Djasiman	Djatzi	Erinaceiauriti	Evansi	Fluminense	Fortbragg	Fugis	Galtoni	Gem	Georgia	Geyaweera	Grippotyphosa	Grippotyphosa type Moskva	Guaratuba	Guaricura	Gurungi	Haemolytica	Hardjo	Hardjo type Bovis	Hardjo type Prajitno	Hawain	Hebdomadis	Hekou	Holland	Hongchon	Honghe	Hualin	Huallaga	Hurstbridge	Hurstbridge type HB6	Icterohaemorrhagiae	Istrica	Jalna	Javanica	Jonsis	Jules	Kabura	Kalimantani	Kambale	Kamituga	Kennewicki	Kenya	Khorat	Kisuba	Kobbe	Kremastos	Kunming	Kuwait	Kwale	Lai	Lai type Langkawi	Lambwe	Langati	Lichuan	Linhai	Lora	Losbanos	Louisiana	Lyme	Malaysia	Mangus	Manhao 3	Manilae	Mankarso	Manzhuang	Medanensis	Mengdeng	Mengla	Menglian	Mengma	Mengrun	Mini	Mooris	Mozdok	Muelleri	Muenchen	Mujunkumi	Mwogolo	Naam	Nanding	Nanla	Nanxi	Ndahambukuje	Ndambari	Nicaragua	No value	Nyanza	Orleans	Paidjan	Panama	Patoc	Perameles	Peru	Pinchang	Poi	Polonica	Pomona	Portblairi	Portlandvere	Princestown	Proechimys	Pyrogenes	Ramisi	Ranarum	Ratnapura	Ricardi	Robinsoni	Roumanica	Rushan	Saopaulo	Sarmin	Saxkoebing	Schueffneri	Sejroe	Sentot	Shermani	Smithi	Sokoine	Sorexjalna	Sumneri	Szwajizak	Tabaquite	Tarassovi	Tonkini	Topaz	Tropica	Tsaratsovo	Tunis	Unipertama	Valbuzzi	Vanderhoedeni	Varela	Varillal	Vughia	Weaveri	Weerasinghe	Wolffi	Yunnan	Zanoni	Zhenkang	other	Total
58																																																																																						1																																													5											13																																													19
59																																																																																																																																																																																										1	1
60																																																																																																																																			2																										1																														3
62																																																																																																																																																																																					1						1
63																																																																			1																																																																																																																								1
64																																																																																																																																																				1																																							1
65																																																																																																																																					1																																																						1
67																																																																																																																																																																					1																						1
68																			1																																																																																																																																																																								1
69																																1																																																																																																																																																											1
70																																																																																																																																																																																										1	1
71																																																																																																																																																													1																														1
72																																																																																																																								1																																																																			1
73																																																																																																																												1							1																						1																																		3
74																																																									1								1																															1																																			5																																																								8
75																																																														1																																																																																																																													1
76																																																													1																																																																																																																														1
77																																														1																																																																																																																																													1
79																																																																																																																																																																																						1					1
80																																																																																																																																																																																										1	1
81																																																																																																																																																																																										1	1
82																																																						1																																																																																																																																					1
83																																																								1																																																																																																																																			1
84																																																																		1																																																																																																																									1
86																																																																																																																																																							1																																				1
89																																																							1																																																																																																																																				1
92																																																																																																																																																						1																																					1
93																																																										1																																																																																																																																	1
94										1																																															1																																																																										5																																												1	1											9
95																																																1																																																																																																																																											1
96																																																																																													1																																																																																														1
97																																																																																																																																																														1																													1
98																																																																																																																							4												1																																									1															6
99																														1																																																																																																																																																													1
100																															1																																																																																																																																																												1
101		1																																																																																																																																																																																									1
102																																																																																																																																																																			2																								2
103																																																																																												1																																																																																															1
104																																																																																																																											1																																																																1
105																																																																																									1																																																																																																		1
106																																																																																																																					1																																																																						1
107																																																																																							1																																																																																																			1	2
108																																																																																																																																																																																										1	1
110																																																																																																																																																	1																																										1
111																																																																																																																																																																																	1										1
112			1																																																																																																																																																																																								1
113																																																																																																																																										1																																																	1
114												1																																																																																																																																																																															1
116																																																																																																																																							1																																																				1
117					1																																																																																																																																																																																						1
118																																											1																																																																																																																																																1
119																																																																																																										1																																																																																	1
121																																																																																																																																																																							1																				1
122																																																																																																																																																																																				1							1
123																											1																																																																																																																																																																1
124															1																																																																																																																																																																												1
125																																																																																																																																												1																																															1
126																																																																													1																																																																																																														1
127																																																																																																																																																															1																												1
128																																													1																																																																																																																																														1
129																																																																															1																																																																																																												1
130																																																																																																							1																																																																																				1
131																																																																																												1																																																																																															1
132																																																																																							5					1																																																																																														1	7
133																																																																																							2																																																																																																				2
134																																								1																																																																																																																																																			1
135																																																											1																																																																																																																																1
136																																																																																																											1																																																																																1
138																																																																																																																																			3																6																																								9
144																		1																																																																																																																	2																																																								3
149																		4																1																																																																																																	1																																																								6
153							1																																																																																																																																																																																				1
155																																																																																																																																			1																																																								1
156																																																																																																																																			2																																																								2
157																																																																																																																																			2																																																								2
158																																																																																																																																			1																																																								1
159																																		1												1																																																																																					1																																																								3
160																																																																																																																																			1																																																								1
161																																																																																																																																																			2																																								2
162								1																																																																																																																											1																																																								2
163																																																																																																																																			3																																																								3
164																																																																																																																																						1																																																					1
165																																																																																																																																			1																																																								1
166																																																																																																																																			1																																																								1
167																																																																																																																																			1																																																								1
168																																																																																																																																			1																																																								1
169																																																																																																																																			1																																																								1
170																																																																																																																																			1																																																								1
171																																																																																																																																			1																																																								1
172																																																																																																																																			1																																																								1
173																		1																																																																																																																	1																																																								2
174																																																																																																																																			1																																																								1
175																																												1																																																																																							1																																																								2
176																																																									1																																																																										1																																																								2
177																																																																																																																																			2																																																								2
178																																																																																																																																														1																																													1
179																																																																																																																																																																																								1			1
180																																																																																																																																			1																																																								1
181																																																																																																																																			2																																																								2
182								1																																																																																																																																																																																			1
183																																																																																																																																																			1																																								1
184																																																																																																																																			1																																																								1
185																																																																																																1																																																																																											1
186																																																																																																																																			1																																																								1
187																																																																																																																																			1																																																								1
188																																																																																																																																			1																																																								1
189														70																							1																																																																																														8																																																								79
190																																																																																																																																			5																																																								5
191																																																																																																																																			3																																																								3
192																																																																																																																																			3																																																								3
193																																																																																																																																			8																																																								8
194																																																																																																																																			1																																																								1
Total	1	1	1	1	1	1	9	63	1	1	1	1	2	73	2	1	1	16	1	1	1	3	1	1	1	1	1	2	1	4	1	1	1	23	1	1	2	1	1	1	111	1	1	3	1	3	1	1	1	1	2	1	1	1	1	1	22	2	2	2	1	2	1	7	3	1	2	1	1	1	3	1	1	1	1	24	1	3	8	1	1	1	1	1	1	1	10	1	1	1	1	3	1	1	6	2	1	1	1	1	5	1	1	2	1	1	2	10	1	1	5	4	1	1	1	1	3	1	7	1	2	1	2	1	1	2	1	1	1	1	785	1	1	2	2	2	1	1	1	4	1	17	1	1	1	1	32	2	1	8	1	1	1	1	1	1	4	1	2	1	3	1	2	1	1	2	1	2	1	2	1	1	1	1	14	1	1	2	1	1	1	2	1	2	1	19	1496

